report,sym,SPEC,COUNTERPARTY,NEUTRAL,inert,spec_merge_ok,cp_merge_ok,retail_behaves,buckets,SPEC_keys,COUNTERPARTY_keys,NEUTRAL_keys,inert_keys,RETAIL_keys,usable_propadj,usable_cache
disagg,CC,MM,Prod+Other,Swap,-,True,True,spec-like,4,managed_money,producer_merchant+other_reportable,swap,-,nonreportable,1058,1041
disagg,CL,MM,Swap+Other,Prod,-,True,False,cp-like,4,managed_money,swap+other_reportable,producer_merchant,-,nonreportable,1058,1033
disagg,CT,MM,Prod,Swap+Other,-,True,True,spec-like,4,managed_money,producer_merchant,swap+other_reportable,-,nonreportable,1058,989
disagg,GC,MM,Prod+Swap,Other,-,True,True,spec-like,4,managed_money,producer_merchant+swap,other_reportable,-,nonreportable,1058,1057
disagg,GF,MM,Prod,Swap+Other,-,True,True,cp-like,4,managed_money,producer_merchant,swap+other_reportable,-,nonreportable,1058,1057
disagg,HE,Swap+MM,Prod+Other,-,-,True,True,neutral,3,swap+managed_money,producer_merchant+other_reportable,-,-,nonreportable,1058,901
disagg,HG,MM,Prod+Swap+Other,-,-,True,True,neutral,3,managed_money,producer_merchant+swap+other_reportable,-,-,nonreportable,1058,1057
disagg,HO,MM,Prod+Swap+Other,-,-,True,True,spec-like,3,managed_money,producer_merchant+swap+other_reportable,-,-,nonreportable,1058,229
disagg,KC,MM,Prod,Swap+Other,-,True,True,neutral,4,managed_money,producer_merchant,swap+other_reportable,-,nonreportable,1058,987
disagg,LBR,MM+Other,Prod,Swap,-,False,True,neutral,4,managed_money+other_reportable,producer_merchant,swap,-,nonreportable,215,214
disagg,LE,MM,Prod,Swap+Other,-,True,True,cp-like,4,managed_money,producer_merchant,swap+other_reportable,-,nonreportable,1058,1057
disagg,NG,MM,Prod+Other,Swap,-,True,True,neutral,4,managed_money,producer_merchant+other_reportable,swap,-,nonreportable,1058,1057
disagg,OJ,MM,Prod+Other,-,Swap,True,True,spec-like,3,managed_money,producer_merchant+other_reportable,-,swap,nonreportable,1058,387
disagg,PA,MM,Prod+Swap,Other,-,True,True,spec-like,4,managed_money,producer_merchant+swap,other_reportable,-,nonreportable,1058,1057
