report,sym,SPEC,COUNTERPARTY,NEUTRAL,inert,spec_merge_ok,cp_merge_ok,retail_behaves,buckets
disagg,CC,MM,Other+Prod,Swap,-,True,True,spec-like,4
disagg,CL,-,-,MM+Other+Prod+Swap,-,True,True,neutral,2
disagg,CT,MM,Prod,Other+Swap,-,True,True,spec-like,4
disagg,GC,MM,Prod+Swap,Other,-,True,True,spec-like,4
disagg,GF,MM,Prod,Other+Swap,-,True,True,cp-like,4
disagg,HE,MM,Prod,Other+Swap,-,True,True,neutral,4
disagg,HG,MM,Other+Prod+Swap,-,-,True,True,neutral,3
disagg,HO,-,Other+Swap,MM+Prod,-,True,True,spec-like,3
disagg,KC,MM,Prod,Other+Swap,-,True,True,neutral,4
disagg,LBR,MM,Other+Prod,-,Swap,True,False,neutral,3
disagg,LE,MM,Prod,Other+Swap,-,True,True,cp-like,4
disagg,NG,MM,Other+Prod,Swap,-,True,True,neutral,4
disagg,OJ,MM,Other+Prod,-,Swap,True,True,spec-like,3
disagg,PA,MM,Prod+Swap,Other,-,True,True,spec-like,4
disagg,PL,MM,Prod+Swap,Other,-,True,True,neutral,4
disagg,RB,MM,Other,Prod+Swap,-,True,True,spec-like,4
disagg,SB,MM,Other+Prod+Swap,-,-,True,False,spec-like,3
disagg,SI,MM,Other+Prod+Swap,-,-,True,True,spec-like,3
disagg,ZC,MM,Prod,Other+Swap,-,True,True,neutral,4
disagg,ZL,MM,Prod,Other+Swap,-,True,True,spec-like,4
disagg,ZM,MM,Prod,Other+Swap,-,True,True,spec-like,4
disagg,ZS,MM,Prod,Other+Swap,-,True,True,spec-like,4
disagg,ZW,MM,Other+Prod,Swap,-,True,True,neutral,4
tff,6A,LevFund,Dealer,AssetMgr,Other,True,True,spec-like,4
tff,6B,AssetMgr+LevFund,Dealer,-,Other,False,True,spec-like,3
tff,6C,AssetMgr+LevFund,Dealer,-,Other,True,True,spec-like,3
tff,6E,AssetMgr+LevFund,Dealer,-,Other,True,True,spec-like,3
tff,6J,AssetMgr+LevFund,Dealer,Other,-,True,True,spec-like,4
tff,6M,LevFund,Dealer,AssetMgr+Other,-,True,True,spec-like,4
tff,6N,AssetMgr,Dealer,LevFund,Other,True,True,spec-like,4
tff,6S,AssetMgr,Dealer,LevFund,Other,True,True,spec-like,4
tff,BTC,AssetMgr,LevFund,Dealer+Other,-,True,True,spec-like,4
tff,DX,AssetMgr,Dealer,LevFund+Other,-,True,True,spec-like,4
tff,ES,AssetMgr,LevFund,Dealer,Other,True,True,neutral,4
tff,NQ,AssetMgr,-,Dealer+LevFund,Other,True,True,neutral,3
tff,RTY,AssetMgr,Dealer+LevFund,-,Other,True,False,neutral,3
tff,YM,AssetMgr,-,Dealer+LevFund,Other,True,True,cp-like,3
tff,ZB,AssetMgr,Dealer,LevFund+Other,-,True,True,spec-like,4
tff,ZF,-,-,Dealer+AssetMgr+LevFund,Other,True,True,spec-like,2
tff,ZN,AssetMgr,Other,Dealer+LevFund,-,True,True,spec-like,4
tff,ZT,-,-,Dealer+AssetMgr+LevFund+Other,-,True,True,neutral,2
