report,sym,cohort,key,px_corr,gross_share,role,c_AssetMgr,c_LevFund,c_Other,c_NonRep,c_Dealer,c_Swap,c_MM,c_Prod
tff,ZB,Dealer,dealer,-0.279,0.09,COUNTERPARTY,-0.334,-0.319,-0.088,-0.293,,,,
tff,ZB,AssetMgr,asset_manager,0.153,0.539,SPEC,,-0.576,-0.051,-0.239,-0.334,,,
tff,ZB,LevFund,leveraged,-0.016,0.189,NEUTRAL,-0.576,,-0.232,-0.064,-0.319,,,
tff,ZB,Other,other_reportable,-0.071,0.059,NEUTRAL,-0.051,-0.232,,-0.063,-0.088,,,
tff,ZB,NonRep,nonreportable,0.22,0.122,RETAIL,-0.239,-0.064,-0.063,,-0.293,,,
tff,ZN,Dealer,dealer,-0.055,0.097,NEUTRAL,-0.357,-0.221,-0.056,-0.075,,,,
tff,ZN,AssetMgr,asset_manager,0.177,0.441,SPEC,,-0.654,-0.193,-0.087,-0.357,,,
tff,ZN,LevFund,leveraged,-0.114,0.324,NEUTRAL,-0.654,,-0.234,-0.201,-0.221,,,
tff,ZN,Other,other_reportable,-0.193,0.051,COUNTERPARTY,-0.193,-0.234,,-0.102,-0.056,,,
tff,ZN,NonRep,nonreportable,0.176,0.087,RETAIL,-0.087,-0.201,-0.102,,-0.075,,,
tff,ZF,Dealer,dealer,-0.158,0.088,COUNTERPARTY,-0.273,-0.283,-0.024,-0.199,,,,
tff,ZF,AssetMgr,asset_manager,0.155,0.465,SPEC,,-0.677,-0.3,-0.088,-0.273,,,
tff,ZF,LevFund,leveraged,-0.103,0.335,NEUTRAL,-0.677,,-0.138,-0.113,-0.283,,,
tff,ZF,Other,other_reportable,-0.12,0.041,inert,-0.3,-0.138,,-0.087,-0.024,,,
tff,ZF,NonRep,nonreportable,0.276,0.071,RETAIL,-0.088,-0.113,-0.087,,-0.199,,,
tff,ZT,Dealer,dealer,-0.067,0.086,NEUTRAL,-0.279,-0.243,-0.135,-0.12,,,,
tff,ZT,AssetMgr,asset_manager,-0.087,0.42,NEUTRAL,,-0.698,-0.074,-0.068,-0.279,,,
tff,ZT,LevFund,leveraged,0.142,0.378,NEUTRAL,-0.698,,-0.338,-0.163,-0.243,,,
tff,ZT,Other,other_reportable,-0.084,0.066,NEUTRAL,-0.074,-0.338,,0.01,-0.135,,,
tff,ZT,NonRep,nonreportable,0.066,0.05,RETAIL,-0.068,-0.163,0.01,,-0.12,,,
tff,YM,Dealer,dealer,-0.072,0.454,NEUTRAL,-0.328,-0.796,-0.176,-0.484,,,,
tff,YM,AssetMgr,asset_manager,0.359,0.17,SPEC,,-0.034,-0.117,-0.072,-0.328,,,
