report,sym,cohort,key,full_role,n_windows,agree_frac,window_roles,counterparty_set_stability,spec_set_stability,stable_enough
disagg,CC,Prod,producer_merchant,COUNTERPARTY,70,1.0,COUNTERPARTY:70,0.271,0.6,False
disagg,CC,Swap,swap,NEUTRAL,70,0.4,NEUTRAL:28 SPEC:28 COUNTERPARTY:14,0.271,0.6,False
disagg,CC,MM,managed_money,SPEC,70,1.0,SPEC:70,0.271,0.6,False
disagg,CC,Other,other_reportable,COUNTERPARTY,70,0.443,COUNTERPARTY:31 inert:21 NEUTRAL:18,0.271,0.6,False
disagg,CC,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.271,0.6,False
disagg,CL,Prod,producer_merchant,NEUTRAL,70,0.343,COUNTERPARTY:46 NEUTRAL:24,0.086,1.0,False
disagg,CL,Swap,swap,COUNTERPARTY,70,0.814,COUNTERPARTY:57 NEUTRAL:13,0.086,1.0,False
disagg,CL,MM,managed_money,SPEC,70,1.0,SPEC:70,0.086,1.0,False
disagg,CL,Other,other_reportable,COUNTERPARTY,70,0.7,COUNTERPARTY:49 NEUTRAL:21,0.086,1.0,False
disagg,CL,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.086,1.0,False
disagg,CT,Prod,producer_merchant,COUNTERPARTY,70,1.0,COUNTERPARTY:70,0.843,0.486,True
disagg,CT,Swap,swap,NEUTRAL,70,0.7,NEUTRAL:49 SPEC:16 COUNTERPARTY:5,0.843,0.486,True
disagg,CT,MM,managed_money,SPEC,70,1.0,SPEC:70,0.843,0.486,True
disagg,CT,Other,other_reportable,NEUTRAL,70,0.629,NEUTRAL:44 SPEC:20 COUNTERPARTY:6,0.843,0.486,True
disagg,CT,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.843,0.486,True
disagg,GC,Prod,producer_merchant,COUNTERPARTY,70,1.0,COUNTERPARTY:70,0.6,0.986,True
disagg,GC,Swap,swap,COUNTERPARTY,70,1.0,COUNTERPARTY:70,0.6,0.986,True
disagg,GC,MM,managed_money,SPEC,70,1.0,SPEC:70,0.6,0.986,True
disagg,GC,Other,other_reportable,NEUTRAL,70,0.586,NEUTRAL:41 COUNTERPARTY:28 SPEC:1,0.6,0.986,True
disagg,GC,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.6,0.986,True
disagg,GF,Prod,producer_merchant,COUNTERPARTY,70,0.714,COUNTERPARTY:50 NEUTRAL:20,0.571,0.629,False
disagg,GF,Swap,swap,NEUTRAL,70,0.471,NEUTRAL:33 SPEC:22 inert:15,0.571,0.629,False
disagg,GF,MM,managed_money,SPEC,70,1.0,SPEC:70,0.571,0.629,False
disagg,GF,Other,other_reportable,NEUTRAL,70,0.571,NEUTRAL:40 COUNTERPARTY:26 SPEC:4,0.571,0.629,False
disagg,GF,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.571,0.629,False
disagg,HE,Prod,producer_merchant,COUNTERPARTY,70,1.0,COUNTERPARTY:70,0.386,0.371,False
disagg,HE,Swap,swap,SPEC,70,0.371,NEUTRAL:44 SPEC:26,0.386,0.371,False
disagg,HE,MM,managed_money,SPEC,70,1.0,SPEC:70,0.386,0.371,False
disagg,HE,Other,other_reportable,COUNTERPARTY,70,0.386,NEUTRAL:43 COUNTERPARTY:27,0.386,0.371,False
disagg,HE,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.386,0.371,False
disagg,HG,Prod,producer_merchant,COUNTERPARTY,70,1.0,COUNTERPARTY:70,0.629,1.0,True
disagg,HG,Swap,swap,COUNTERPARTY,70,0.629,COUNTERPARTY:44 NEUTRAL:26,0.629,1.0,True
disagg,HG,MM,managed_money,SPEC,70,1.0,SPEC:70,0.629,1.0,True
disagg,HG,Other,other_reportable,COUNTERPARTY,70,1.0,COUNTERPARTY:70,0.629,1.0,True
disagg,HG,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.629,1.0,True
disagg,HO,Prod,producer_merchant,COUNTERPARTY,70,0.9,COUNTERPARTY:63 NEUTRAL:7,0.414,0.943,False
disagg,HO,Swap,swap,COUNTERPARTY,70,0.8,COUNTERPARTY:56 NEUTRAL:14,0.414,0.943,False
disagg,HO,MM,managed_money,SPEC,70,0.943,SPEC:66 NEUTRAL:4,0.414,0.943,False
disagg,HO,Other,other_reportable,COUNTERPARTY,70,0.657,COUNTERPARTY:46 inert:12 NEUTRAL:12,0.414,0.943,False
disagg,HO,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.414,0.943,False
disagg,KC,Prod,producer_merchant,COUNTERPARTY,70,1.0,COUNTERPARTY:70,0.686,0.714,True
disagg,KC,Swap,swap,NEUTRAL,70,0.714,NEUTRAL:50 SPEC:20,0.686,0.714,True
disagg,KC,MM,managed_money,SPEC,70,1.0,SPEC:70,0.686,0.714,True
disagg,KC,Other,other_reportable,NEUTRAL,70,0.686,NEUTRAL:48 COUNTERPARTY:22,0.686,0.714,True
disagg,KC,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.686,0.714,True
disagg,LBR,Prod,producer_merchant,COUNTERPARTY,9,1.0,COUNTERPARTY:9,1.0,0.333,True
disagg,LBR,Swap,swap,NEUTRAL,9,0.111,inert:7 SPEC:1 NEUTRAL:1,1.0,0.333,True
disagg,LBR,MM,managed_money,SPEC,9,1.0,SPEC:9,1.0,0.333,True
disagg,LBR,Other,other_reportable,SPEC,9,0.444,NEUTRAL:5 SPEC:4,1.0,0.333,True
disagg,LBR,NonRep,nonreportable,RETAIL,9,1.0,RETAIL:9,1.0,0.333,True
disagg,LE,Prod,producer_merchant,COUNTERPARTY,70,0.957,COUNTERPARTY:67 NEUTRAL:3,0.8,0.914,True
disagg,LE,Swap,swap,NEUTRAL,70,0.971,NEUTRAL:68 SPEC:2,0.8,0.914,True
disagg,LE,MM,managed_money,SPEC,70,0.957,SPEC:67 NEUTRAL:3,0.8,0.914,True
disagg,LE,Other,other_reportable,NEUTRAL,70,0.829,NEUTRAL:58 COUNTERPARTY:11 SPEC:1,0.8,0.914,True
disagg,LE,NonRep,nonreportable,RETAIL,70,1.0,RETAIL:70,0.8,0.914,True
disagg,NG,Prod,producer_merchant,COUNTERPARTY,70,0.814,COUNTERPARTY:57 NEUTRAL:13,0.529,1.0,False
disagg,NG,Swap,swap,NEUTRAL,70,0.571,NEUTRAL:40 COUNTERPARTY:30,0.529,1.0,False
