report,sym,cohort,px_corr,gross_share,c_Other,c_NonRep,c_Prod,c_Swap,c_MM,c_AssetMgr,c_LevFund,c_Dealer
disagg,CC,MM,0.41,0.22,-0.46,0.15,-0.87,-0.21,,,,
disagg,CC,Other,-0.22,0.11,,-0.04,0.13,-0.01,-0.46,,,
disagg,CC,NonRep,0.18,0.08,-0.04,,-0.36,0.03,0.15,,,
disagg,CC,Prod,-0.39,0.44,0.13,-0.36,,-0.12,-0.87,,,
disagg,CC,Swap,-0.02,0.15,-0.01,0.03,-0.12,,-0.21,,,
disagg,CL,MM,0.13,0.13,-0.47,-0.15,-0.5,-0.59,,,,
disagg,CL,Other,-0.02,0.1,,0.0,0.03,-0.19,-0.47,,,
disagg,CL,NonRep,-0.02,0.05,0.0,,-0.06,-0.16,-0.15,,,
disagg,CL,Prod,-0.04,0.44,0.03,-0.06,,0.01,-0.5,,,
disagg,CL,Swap,-0.12,0.28,-0.19,-0.16,0.01,,-0.59,,,
disagg,CT,MM,0.2,0.26,-0.19,0.56,-0.88,-0.03,,,,
disagg,CT,Other,-0.0,0.15,,0.03,-0.15,-0.11,-0.19,,,
disagg,CT,NonRep,0.25,0.06,0.03,,-0.67,-0.02,0.56,,,
disagg,CT,Prod,-0.24,0.38,-0.15,-0.67,,-0.23,-0.88,,,
disagg,CT,Swap,0.06,0.15,-0.11,-0.02,-0.23,,-0.03,,,
disagg,GC,MM,0.52,0.24,-0.24,0.24,-0.74,-0.82,,,,
disagg,GC,Other,-0.05,0.19,,-0.09,-0.03,-0.11,-0.24,,,
disagg,GC,NonRep,0.27,0.1,-0.09,,-0.43,-0.28,0.24,,,
disagg,GC,Prod,-0.46,0.09,-0.03,-0.43,,0.44,-0.74,,,
disagg,GC,Swap,-0.45,0.39,-0.11,-0.28,0.44,,-0.82,,,
disagg,GF,MM,0.38,0.3,-0.38,-0.77,-0.68,-0.02,,,,
disagg,GF,Other,-0.04,0.18,,0.04,-0.09,-0.14,-0.38,,,
disagg,GF,NonRep,-0.42,0.25,0.04,,0.37,-0.13,-0.77,,,
disagg,GF,Prod,-0.27,0.2,-0.09,0.37,,-0.15,-0.68,,,
disagg,GF,Swap,0.09,0.07,-0.14,-0.13,-0.15,,-0.02,,,
disagg,HE,MM,0.2,0.28,-0.5,-0.19,-0.83,0.04,,,,
disagg,HE,Other,-0.05,0.15,,-0.0,0.08,-0.19,-0.5,,,
disagg,HE,NonRep,0.09,0.1,-0.0,,-0.02,-0.1,-0.19,,,
disagg,HE,Prod,-0.25,0.3,0.08,-0.02,,-0.26,-0.83,,,
disagg,HE,Swap,0.06,0.17,-0.19,-0.1,-0.26,,0.04,,,
disagg,HG,MM,0.52,0.23,-0.71,-0.01,-0.85,-0.39,,,,
disagg,HG,Other,-0.31,0.12,,0.08,0.35,0.06,-0.71,,,
disagg,HG,NonRep,-0.0,0.08,0.08,,-0.26,-0.12,-0.01,,,
disagg,HG,Prod,-0.48,0.37,0.35,-0.26,,0.2,-0.85,,,
disagg,HG,Swap,-0.2,0.2,0.06,-0.12,0.2,,-0.39,,,
disagg,HO,MM,0.09,0.13,-0.52,0.47,-0.82,-0.31,,,,
disagg,HO,Other,-0.16,0.06,,-0.37,0.17,0.03,-0.52,,,
disagg,HO,NonRep,0.24,0.17,-0.37,,-0.64,-0.3,0.47,,,
disagg,HO,Prod,-0.03,0.49,0.17,-0.64,,0.07,-0.82,,,
disagg,HO,Swap,-0.28,0.15,0.03,-0.3,0.07,,-0.31,,,
disagg,KC,MM,0.34,0.23,-0.41,-0.07,-0.9,-0.08,,,,
disagg,KC,Other,-0.08,0.1,,-0.02,0.15,-0.13,-0.41,,,
disagg,KC,NonRep,-0.1,0.06,-0.02,,-0.08,0.0,-0.07,,,
disagg,KC,Prod,-0.32,0.41,0.15,-0.08,,-0.19,-0.9,,,
disagg,KC,Swap,0.02,0.19,-0.13,0.0,-0.19,,-0.08,,,
disagg,LBR,MM,0.4,0.25,-0.34,-0.07,-0.79,0.02,,,,
disagg,LBR,Other,-0.29,0.08,,-0.19,-0.05,-0.21,-0.34,,,
disagg,LBR,NonRep,-0.13,0.32,-0.19,,-0.3,-0.06,-0.07,,,
disagg,LBR,Prod,-0.41,0.31,-0.05,-0.3,,-0.15,-0.79,,,
disagg,LBR,Swap,-0.18,0.04,-0.21,-0.06,-0.15,,0.02,,,
disagg,LE,MM,0.36,0.25,-0.36,-0.57,-0.85,0.14,,,,
disagg,LE,Other,-0.04,0.11,,0.03,-0.06,-0.14,-0.36,,,
disagg,LE,NonRep,-0.24,0.13,0.03,,0.4,-0.23,-0.57,,,
disagg,LE,Prod,-0.35,0.37,-0.06,0.4,,-0.31,-0.85,,,
disagg,LE,Swap,0.06,0.13,-0.14,-0.23,-0.31,,0.14,,,
disagg,NG,MM,0.32,0.31,-0.81,0.12,-0.48,-0.57,,,,
disagg,NG,Other,-0.34,0.13,,-0.21,0.17,0.14,-0.81,,,
disagg,NG,NonRep,-0.03,0.07,-0.21,,-0.2,-0.18,0.12,,,
disagg,NG,Prod,-0.15,0.33,0.17,-0.2,,0.09,-0.48,,,
disagg,NG,Swap,-0.04,0.16,0.14,-0.18,0.09,,-0.57,,,
disagg,OJ,MM,0.35,0.3,-0.44,0.38,-0.88,-0.05,,,,
disagg,OJ,Other,-0.16,0.13,,-0.24,0.05,0.03,-0.44,,,
disagg,OJ,NonRep,0.23,0.21,-0.24,,-0.55,-0.08,0.38,,,
disagg,OJ,Prod,-0.33,0.32,0.05,-0.55,,-0.1,-0.88,,,
disagg,OJ,Swap,-0.05,0.04,0.03,-0.08,-0.1,,-0.05,,,
disagg,PA,MM,0.48,0.4,-0.19,0.18,-0.75,-0.76,,,,
disagg,PA,Other,0.02,0.12,,0.12,-0.14,-0.2,-0.19,,,
disagg,PA,NonRep,0.19,0.12,0.12,,-0.34,-0.35,0.18,,,
disagg,PA,Prod,-0.45,0.11,-0.14,-0.34,,0.4,-0.75,,,
disagg,PA,Swap,-0.39,0.25,-0.2,-0.35,0.4,,-0.76,,,
disagg,PL,MM,0.52,0.26,-0.56,-0.29,-0.79,-0.83,,,,
disagg,PL,Other,-0.13,0.15,,0.2,0.21,0.21,-0.56,,,
disagg,PL,NonRep,-0.01,0.11,0.2,,-0.01,0.09,-0.29,,,
disagg,PL,Prod,-0.51,0.16,0.21,-0.01,,0.57,-0.79,,,
disagg,PL,Swap,-0.51,0.32,0.21,0.09,0.57,,-0.83,,,
disagg,RB,MM,0.18,0.17,-0.55,0.5,-0.83,-0.32,,,,
disagg,RB,Other,-0.17,0.07,,-0.41,0.15,0.1,-0.55,,,
disagg,RB,NonRep,0.19,0.07,-0.41,,-0.58,-0.18,0.5,,,
disagg,RB,Prod,-0.13,0.56,0.15,-0.58,,-0.01,-0.83,,,
disagg,RB,Swap,-0.09,0.13,0.1,-0.18,-0.01,,-0.32,,,
disagg,SB,MM,0.5,0.27,-0.46,0.51,-0.85,-0.33,,,,
disagg,SB,Other,-0.2,0.08,,-0.26,0.18,0.04,-0.46,,,
disagg,SB,NonRep,0.58,0.1,-0.26,,-0.62,-0.25,0.51,,,
disagg,SB,Prod,-0.53,0.37,0.18,-0.62,,-0.04,-0.85,,,
disagg,SB,Swap,-0.2,0.18,0.04,-0.25,-0.04,,-0.33,,,
disagg,SI,MM,0.42,0.15,-0.62,-0.03,-0.8,-0.82,,,,
disagg,SI,Other,-0.31,0.13,,-0.03,0.34,0.3,-0.62,,,
disagg,SI,NonRep,0.23,0.2,-0.03,,-0.24,-0.22,-0.03,,,
disagg,SI,Prod,-0.44,0.14,0.34,-0.24,,0.58,-0.8,,,
disagg,SI,Swap,-0.35,0.38,0.3,-0.22,0.58,,-0.82,,,
disagg,ZC,MM,0.51,0.2,-0.24,-0.38,-0.91,0.13,,,,
disagg,ZC,Other,0.02,0.09,,0.04,-0.06,-0.21,-0.24,,,
disagg,ZC,NonRep,-0.03,0.12,0.04,,0.19,-0.12,-0.38,,,
disagg,ZC,Prod,-0.56,0.46,-0.06,0.19,,-0.29,-0.91,,,
disagg,ZC,Swap,0.12,0.13,-0.21,-0.12,-0.29,,0.13,,,
disagg,ZL,MM,0.25,0.18,-0.28,0.49,-0.9,-0.02,,,,
disagg,ZL,Other,-0.11,0.07,,-0.08,-0.04,-0.07,-0.28,,,
disagg,ZL,NonRep,0.23,0.07,-0.08,,-0.63,-0.03,0.49,,,
disagg,ZL,Prod,-0.25,0.58,-0.04,-0.63,,-0.19,-0.9,,,
disagg,ZL,Swap,0.03,0.11,-0.07,-0.03,-0.19,,-0.02,,,
disagg,ZM,MM,0.21,0.19,-0.23,0.3,-0.91,-0.11,,,,
disagg,ZM,Other,0.0,0.07,,0.0,-0.07,-0.02,-0.23,,,
