report,sym,SPEC,flowcorr_SPEC_vs_LegacyNonComm,COUNTERPARTY,flowcorr_CP_vs_LegacyComm,weeks
disagg,CC,MM,0.94,Prod+Other,0.89,1059
disagg,CL,MM,0.81,Swap+Other,0.63,1059
disagg,CT,MM,0.92,Prod,0.95,1059
disagg,GC,MM,0.94,Prod+Swap,1.0,1059
disagg,GF,MM,0.9,Prod,0.9,1059
disagg,HE,Swap+MM,0.81,Prod+Other,0.8,1059
disagg,HG,MM,0.91,Prod+Swap+Other,0.91,1059
disagg,HO,MM,0.85,Prod+Swap+Other,0.92,1059
disagg,KC,MM,0.95,Prod,0.95,1059
disagg,LBR,MM+Other,1.0,Prod,0.97,1059
disagg,LE,MM,0.9,Prod,0.96,1059
disagg,NG,MM,0.7,Prod+Other,0.43,1059
disagg,OJ,MM,0.89,Prod+Other,0.91,1059
disagg,PA,MM,0.93,Prod+Swap,1.0,1059
disagg,PL,MM,0.95,Prod+Swap,1.0,1059
disagg,RB,MM,0.87,Prod+Other,0.86,1059
disagg,SB,MM,0.94,Prod+Swap+Other,0.96,1059
disagg,SI,MM,0.96,Prod+Swap+Other,0.96,1059
disagg,ZC,MM,0.94,Prod,0.97,1059
disagg,ZL,MM,0.93,Prod,0.97,1059
disagg,ZM,MM,0.95,Prod,0.98,1059
disagg,ZS,MM,0.92,Prod,0.96,1059
disagg,ZW,MM,0.92,Prod+Other,0.84,1059
tff,6A,AssetMgr+LevFund,0.88,Dealer,0.92,1059
tff,6B,AssetMgr+LevFund,0.81,Dealer,0.85,1059
tff,6C,AssetMgr+LevFund,0.89,Dealer,0.91,1059
tff,6E,AssetMgr+LevFund,0.83,Dealer,0.85,1059
tff,6J,AssetMgr+LevFund,0.88,Dealer,0.91,1059
tff,6M,LevFund,0.7,Dealer,0.62,1059
tff,6N,AssetMgr,0.5,Dealer,0.9,1056
tff,6S,AssetMgr+LevFund,0.92,Dealer,0.94,1059
tff,BTC,AssetMgr,-0.15,LevFund,0.07,442
tff,DX,AssetMgr,0.27,Dealer,0.7,1059
tff,ES,AssetMgr,-0.19,LevFund,-0.35,1059
tff,ETH,Dealer+AssetMgr,-0.04,LevFund,-0.08,286
tff,NQ,AssetMgr,0.19,Dealer,0.8,1059
tff,RTY,AssetMgr,0.11,Dealer,0.58,1059
tff,YM,AssetMgr,0.3,-,,1059
tff,ZB,AssetMgr,-0.2,Dealer,0.47,1059
tff,ZF,AssetMgr,-0.31,Dealer,0.37,1059
tff,ZN,AssetMgr,-0.41,Other,-0.03,1059
tff,ZT,-,,-,,1059
