report,sym,SPEC,flowcorr_SPEC_vs_LegacyNonComm,COUNTERPARTY,flowcorr_CP_vs_LegacyComm
disagg,CC,MM,0.94,Other+Prod,0.89
disagg,CL,-,,-,
disagg,CT,MM,0.92,Prod,0.95
disagg,GC,MM,0.94,Prod+Swap,1.0
disagg,GF,MM,0.9,Prod,0.9
disagg,HE,MM,0.87,Prod,0.94
disagg,HG,MM,0.91,Other+Prod+Swap,0.91
disagg,HO,-,,Other+Swap,0.35
disagg,KC,MM,0.95,Prod,0.95
disagg,LBR,MM,0.97,Other+Prod,0.97
disagg,LE,MM,0.9,Prod,0.96
disagg,NG,MM,0.7,Other+Prod,0.43
disagg,OJ,MM,0.89,Other+Prod,0.91
disagg,PA,MM,0.93,Prod+Swap,1.0
disagg,PL,MM,0.95,Prod+Swap,1.0
disagg,RB,MM,0.87,Other,0.18
disagg,SB,MM,0.94,Other+Prod+Swap,0.96
disagg,SI,MM,0.96,Other+Prod+Swap,0.96
disagg,ZC,MM,0.94,Prod,0.97
disagg,ZL,MM,0.93,Prod,0.97
disagg,ZM,MM,0.95,Prod,0.98
disagg,ZS,MM,0.92,Prod,0.96
disagg,ZW,MM,0.92,Other+Prod,0.84
tff,6A,LevFund,0.79,Dealer,0.92
tff,6B,AssetMgr+LevFund,0.81,Dealer,0.85
tff,6C,AssetMgr+LevFund,0.89,Dealer,0.91
tff,6E,AssetMgr+LevFund,0.83,Dealer,0.85
tff,6J,AssetMgr+LevFund,0.88,Dealer,0.91
tff,6M,LevFund,0.7,Dealer,0.62
tff,6N,AssetMgr,0.5,Dealer,0.9
tff,6S,AssetMgr,0.15,Dealer,0.94
tff,BTC,AssetMgr,-0.15,LevFund,0.07
tff,DX,AssetMgr,0.27,Dealer,0.7
tff,ES,AssetMgr,-0.19,LevFund,-0.35
tff,NQ,AssetMgr,0.19,-,
tff,RTY,AssetMgr,0.18,Dealer+LevFund,0.34
tff,YM,AssetMgr,0.3,-,
tff,ZB,AssetMgr,-0.2,Dealer,0.47
tff,ZF,-,,-,
tff,ZN,AssetMgr,-0.41,Other,-0.03
tff,ZT,-,,-,
